id,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
9306584,3770,HOUSE,MIXED_USE_BUILDING,500000,2,210,1,0,0,0,0,1,720,1689,4,0,GOOD
8939336,9690,HOUSE,HOUSE,169700,3,,1,0,0,1,0,0,0,210,3,0,GOOD
9189042,7100,HOUSE,HOUSE,220000,3,,0,0,0,0,0,0,0,199,3,0,GOOD
9313505,4000,HOUSE,APARTMENT_BLOCK,619000,6,406,1,0,0,1,7,0,0,0,2,0,TO_BE_DONE_UP
9428804,9000,HOUSE,HOUSE,312000,3,130,1,0,0,0,0,0,0,72,2,0,GOOD
9163654,7140,HOUSE,HOUSE,140000,2,153,1,0,0,1,0,0,0,0,2,0,GOOD
9387573,2381,HOUSE,HOUSE,240000,4,267,0,0,0,0,0,0,0,207,3,0,GOOD
9391754,9180,HOUSE,VILLA,475000,2,,0,0,0,0,0,0,0,0,,0,TO_RENOVATE
9319235,4500,HOUSE,HOUSE,549000,5,260,1,0,1,1,38,1,3250,3961,4,0,GOOD
9396721,4000,HOUSE,HOUSE,169000,2,75,1,0,0,1,13,0,0,0,2,0,GOOD
9367211,2235,HOUSE,HOUSE,279000,4,352,0,0,0,0,0,1,0,610,3,0,GOOD
8932902,2160,HOUSE,HOUSE,395000,3,,0,0,0,0,0,0,0,140,,0,AS_NEW
9418816,1702,HOUSE,HOUSE,349000,5,220,0,0,0,0,0,0,0,160,,0,AS_NEW
9340623,5350,HOUSE,HOUSE,149000,2,115,0,0,0,0,0,0,0,446,4,0,TO_RENOVATE
9433201,9600,HOUSE,MANSION,325000,4,241,1,0,0,0,0,0,0,170,2,0,TO_BE_DONE_UP
9379370,3000,APARTMENT,APARTMENT,152000,1,16,1,1,0,0,0,0,0,0,3,0,AS_NEW
9316230,7100,HOUSE,MIXED_USE_BUILDING,190000,2,90,0,0,0,1,0,0,0,87,3,0,TO_BE_DONE_UP
9402450,7890,HOUSE,HOUSE,195000,2,120,1,0,1,0,0,0,0,928,,0,TO_RENOVATE
